,timestamp,message_id,MMSI,originator,callsign,ship_type,to_bow,to_stern,to_port,to_starboard,epfd,month,day,hour,minute,draught
0,2021-07-01T00:00:00.000Z,5,211254620,DEU,DGMG,70,34,6,3,4,1,7,2,6,0,2.4
1,2021-07-01T00:00:00.000Z,5,211222710,DEU,DKFW,52,9,18,7,2,1,6,24,23,59,4.2
2,2021-07-01T00:00:00.000Z,5,304946000,DNK,V2HG8,70,70,18,6,7,1,6,26,18,0,5.3
3,2021-07-01T00:00:00.000Z,5,261183700,POL,SR3700,90,69,15,4,5,0,9,30,0,0,3
4,2021-07-01T00:00:00.000Z,5,211470990,DEU,DG 6185,99,10,14,3,4,1,1,1,0,0,1.7
5,2021-07-01T00:00:00.000Z,5,258783000,NLD,LAFP8,90,24,97,12,12,0,6,24,4,0,6.3
6,2021-07-01T00:00:00.000Z,5,257169000,NOR,LIAS,36,20,3,4,2,1,8,31,15,0,4
7,2021-07-01T00:00:01.000Z,5,566697000,DNK,9V9822,90,5,84,61,45,1,6,30,18,0,9
8,2021-07-01T00:00:01.000Z,5,257188000,NOR,LALW,70,14,79,10,10,1,6,30,13,0,5.4
9,2021-07-01T00:00:01.000Z,5,257114000,DEU,LAWN7,70,81,14,7,7,1,7,2,8,0,5.3
10,2021-07-01T00:00:01.000Z,5,220435000,DEU,OVFE,35,24,19,3,6,1,7,7,7,7,2.7
11,2021-07-01T00:00:01.000Z,5,244186746,NLD,PE5782,70,65,8,4,4,0,7,1,12,0,1.7
12,2021-07-01T00:00:01.000Z,5,219005787,DNK,XP3136,31,4,9,2,3,1,6,20,11,30,2
13,2021-07-01T00:00:01.000Z,5,219000809,DEU,OZHF,60,12,24,6,6,1,10,23,0,0,2
14,2021-07-01T00:00:01.000Z,5,257409000,DEU,LAJF5,89,120,20,11,11,1,7,2,13,0,6.7
15,2021-07-01T00:00:01.000Z,5,244650941,NLD,PC3123,70,58,10,5,4,0,12,31,0,0,0
16,2021-07-01T00:00:01.000Z,5,565094000,DNK,9VFW7,0,25,67,9,14,1,4,7,14,0,6.9
17,2021-07-01T00:00:01.000Z,5,211255580,DNK,DJCP,60,19,29,6,9,1,11,3,10,40,1.8
18,2021-07-01T00:00:01.000Z,5,211255580,DEU,DJCP,60,19,29,6,9,1,11,3,10,40,1.8
19,2021-07-01T00:00:01.000Z,5,244870427,NOR,PDDA,84,70,25,7,6,1,7,2,6,0,6.4
20,2021-07-01T00:00:01.000Z,5,257490000,NOR,LAIW8,70,79,9,9,4,1,7,1,18,0,3.4
21,2021-07-01T00:00:01.000Z,5,257490000,SWE,LAIW8,70,79,9,9,4,1,7,1,18,0,3.4
22,2021-07-01T00:00:01.000Z,5,211663310,DEU,DB5286,79,66,14,2,6,1,6,15,15,0,2.7
23,2021-07-01T00:00:02.000Z,5,211709370,DEU,DA3580,99,13,3,2,3,1,2,13,0,0,0
